seed,fold,generation,best_fitness,mean_fitness,unique,best_rule
1,1,10,0.6608987298148699,-0.07000376950702719,53,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,11,0.6608987298148699,0.04509901626084488,57,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,12,0.6608987298148699,-0.05889851291600005,52,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,13,0.6608987298148699,0.08712014109954,55,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,14,0.6608987298148699,0.018942248158727876,53,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,15,0.6608987298148699,-0.014714826692231276,52,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,16,0.6608987298148699,0.014519030241204304,55,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,17,0.6608987298148699,0.06408020841443333,52,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,18,0.6622547686836076,-0.07091688779801039,50,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.063) | EXIT NOT trend(10) < 0.033"
1,1,19,0.6622547686836076,0.010354520887752594,53,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.063) | EXIT NOT trend(10) < 0.033"
1,1,20,0.6622547686836076,0.07501544725485582,55,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.063) | EXIT NOT trend(10) < 0.033"
1,1,21,0.6622547686836076,0.02364893989706364,57,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.063) | EXIT NOT trend(10) < 0.033"
1,1,22,0.6622547686836076,-0.023199082597233765,55,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.063) | EXIT NOT trend(10) < 0.033"
